Taipei,Hsinchu,Taichung,Tainan,Kaohsiung,Hualien,Taitung
0,54,138,267,289,172,215
54,0,88,223,247,149,187
138,88,0,136,161,103,125
267,223,136,0,26,128,98
289,247,161,26,0,141,105
172,149,103,128,141,0,44
215,187,125,98,105,44,0
